"Num","Career","Gender","Age","Studying","Contract","Salary","Firmtype","Accgrade","Grade","Startwork","Image","Exp-gene","Exp-spec","Qual-gen","Qual-spec","Value","Satisfaction"
80,"EI","female","25-26years","no.stud","fix.cont","45k","priva","7-8accnote","6.5-7note","befor.grad","-0,69","-0,16","-0,74","-0,06","0,12","-1,95","-0,84"
81,"EI","male","29-30years","yes.stud","temp.cont","<18k","priva","accnote<7","6.5-7note","befor.grad","0,74","1,6","1,66","1,31","1,67","0,83","1,2"
82,"TEL","male","31years+","yes.stud","other.cont","<18k","priva","accnote>8","6.5-7note","after.grad","0,47","-0,92","0,09","0,43","0,36","-0,34","0,52"
83,"TEL","male","29-30years","yes.stud","other.cont",">45k","priva","accnote<7","<6.5note","befor.grad","-1,33","0,7","-1,72","-1,71","-1,91","-0,76","-0,42"
84,"TEL","male","31years+","yes.stud","fix.cont","45k","publi","accnote<7","<6.5note","befor.grad","-1,12","0,18","-0,88","-0,98","-2,19","0,85","-0,45"
85,"TEL","female","27-28years","yes.stud","fix.cont","35k","priva","7-8accnote","7-7.5note","befor.grad","0,11","-1,4","-1,9","1,13","-0,92","-0,16","0,63"
86,"TEL","male","27-28years","yes.stud","temp.cont","<18k","publi","accnote<7",">7.5note","after.grad","-3,15","0,84","1,66","-1,16","-3,06","-0,15","-1,09"
87,"TEL","male","27-28years","yes.stud","fix.cont","45k","priva","accnote>8",">7.5note","befor.grad","0,94","0,45","0,09","0,73","0,99","1,36","1,86"
88,"TEL","male","31years+","yes.stud","fix.cont",">45k","priva","accnote<7","6.5-7note","befor.grad","-3,31","-0,2","-0,79","-1,45","-2,26","-1,53","-0,86"
89,"TEL","female","29-30years","yes.stud","fix.cont",">45k","priva","7-8accnote","6.5-7note","after.grad","-2,18","0,18","0,09","-1,24","-0,8",0,"-0,38"
90,"TEL","male","27-28years","yes.stud","temp.cont","25k","priva","accnote>8","6.5-7note","after.grad","-0,29","0,72","0,27","-0,34","0,84","1,02","0,48"
91,"TEL","male","27-28years","yes.stud","fix.cont","35k","priva","accnote<7","7-7.5note","after.grad","0,19","1,33","-0,14","0,19","0,4","-1,26","-1,21"
92,"TEL","male","29-30years","yes.stud","temp.cont","45k","publi","accnote>8","6.5-7note","after.grad","-2,8","0,18","0,09","-2,41","-1,78","-0,22","-1,28"
93,"TEL","male","29-30years","yes.stud","fix.cont",">45k","priva","7-8accnote","6.5-7note","after.grad","-1,03","0,83","0,27","-0,75","-0,24","0,6","0,4"
94,"TEL","male","27-28years","yes.stud","temp.cont","25k","priva","accnote<7","6.5-7note","befor.grad","0,58","0,67","-0,01","0,21","0,63","0,14","0,77"
95,"TEL","female","29-30years","yes.stud","fix.cont","45k","priva","7-8accnote","<6.5note","befor.grad","0,47","0,89","0,04","0,83","-0,04","0,28","0,31"
96,"TEL","female","31years+","yes.stud","fix.cont","45k","priva","7-8accnote","6.5-7note","befor.grad","1,25","0,92","0,09","-0,21","-0,55","0,21","-0,06"
97,"TEL","male","29-30years","yes.stud","fix.cont","35k","publi","accnote>8",">7.5note","after.grad","-0,88","0,06","-0,37","-0,41","-1,31","-0,5","-1,24"
98,"TEL","male","29-30years","yes.stud","temp.cont","45k","publi","7-8accnote","6.5-7note","befor.grad","0,66","0,43","1,06","0,09","0,8","0,99","1,17"
99,"TEL","male","29-30years","yes.stud","fix.cont","25k","priva","7-8accnote","6.5-7note","befor.grad","-2,53","0,5","0,55","-2,3","-1,56","-2,55","-1,63"
100,"TEL","male","29-30years","yes.stud","fix.cont","35k","priva","7-8accnote","6.5-7note","befor.grad","0,67","0,32","-0,51","0,48","0,16","0,42","0,25"
